word1,word2,label
guy,pan,0
star,lean,0
extreme,merchandise,0
hook,outlook,1
discrete,incomplete,1
stood,syndrome,0
concealed,shield,1
pro,know,1
mold,told,1
loan,hong,0
ring,ing,1
wing,crown,0
black,sell,0
buffalo,studio,1
prior,benign,0
hire,buyer,1
she,bed,0
bay,fleet,0
sea,string,0
trace,pursue,0
there,overall,0
shame,flame,1
understood,could,1
immune,noon,1
compromise,merchandise,1
flat,bread,0
japan,ran,1
mode,specify,0
counterpart,apart,1
alas,ass,1
card,prey,0
singh,will,0
read,overhead,1
episode,mode,1
rode,episode,1
sat,habitat,1
hong,long,1
parallel,moon,0
syndrome,all,0
esteem,theme,1
gland,sand,1
syndrome,ban,0
would,bold,0
pie,die,1
shook,compromise,0
anywhere,rare,1
art,far,0
leap,case,0
demand,land,1
compromise,ton,0
balloon,immune,1
scheme,cream,1
four,pour,1
code,clark,0
regard,courtyard,1
fold,old,1
sea,bill,0
sold,your,0
height,delight,1
cream,seem,1
true,slight,0
yield,would,0
cast,mark,0
afternoon,right,0
jar,reservoir,1
hey,decay,1
gas,mass,1
took,disappear,0
down,cheap,0
noon,moon,1
mill,attack,0
essay,gay,1
syndrome,chromosome,1
expand,demand,1
ing,singh,1
fold,threshold,1
feedback,black,1
cardiac,down,0
unite,despite,1
portfolio,know,1
gun,won,1
far,par,1
bold,clan,0
cheap,size,0
format,bat,1
joe,glow,1
plain,reign,1
personnel,well,1
declare,despair,1
bowed,rode,1
aim,claim,1
base,vaccine,0
known,limestone,1
regard,balloon,0
bark,ann,0
gas,till,0
pray,blow,0
vast,broadcast,1
frame,fame,1
desire,require,1
shield,cart,0
that,flat,1
mankind,chromosome,0
blind,behind,1
apart,hart,1
concrete,receipt,1
fair,everywhere,1
mass,buyer,0
drain,door,0
episode,nat,0
aim,sing,0
gland,stand,1
folklore,likelihood,0
begun,anyone,1
store,tear,0
core,cor,1
balloon,floor,0
sea,guarantee,1
decree,three,1
define,rode,0
everyone,reality,0
tone,mar,0
hey,ray,1
wheat,chromosome,0
good,score,0
prior,higher,1
score,before,1
sing,assigned,0
guard,otherwise,0
interview,attack,0
outlook,song,0
fall,game,0
mac,alcohol,0
site,knight,1
debris,plea,1
war,afternoon,0
wall,recall,1
few,bowed,0
sealed,she,0
write,fan,0
tan,ran,1
volunteer,replace,0
dear,buyer,0
sweet,meet,1
expand,ass,0
head,overhead,1
flow,plateau,1
sincere,premier,1
compare,everywhere,1
slight,hat,0
sold,debris,0
meat,singh,0
mat,start,0
june,sweet,0
hotel,tight,0
sealed,hygiene,0
frame,flame,1
bare,keep,0
could,nine,0
cast,caste,1
grass,design,0
hardware,compare,1
alone,phone,1
pack,track,1
card,down,0
seen,routine,1
justify,dry,1
mark,tissue,0
overnight,quite,1
survey,prey,1
long,gray,0
minimize,wrong,0
led,read,1
vast,owe,0
sell,hell,1
seen,offspring,0
none,begun,1
span,than,1
wine,assign,1
said,fed,1
workplace,everyday,0
defined,kind,1
beam,past,0
fold,telephone,0
ring,prize,0
kill,jar,0
degree,sold,0
smart,hart,1
been,one,1
gold,threshold,1
apart,loan,0
outlined,warfare,0
lie,guru,0
cheap,arc,0
slow,potato,1
smart,clue,0
spell,stay,0
yard,personnel,0
crack,revealed,0
sphere,shear,1
sand,fold,0
stand,expand,1
four,row,0
downtown,rode,0
buy,game,0
shadow,tomorrow,1
hell,tissue,0
immune,afternoon,1
they,jay,1
plea,anyway,0
agree,mat,0
grass,last,1
shown,limestone,1
keen,rode,0
rolled,household,1
seminar,star,1
hold,cholesterol,0
hall,call,1
sleep,leap,1
brass,class,1
buyer,entire,1
write,midnight,1
benign,clark,0
spray,sold,0
free,shield,0
brand,band,1
smart,start,1
call,spite,0
borrow,entire,0
outlook,gland,0
suite,sweet,1
sold,spring,0
tissue,interview,1
downtown,flame,0
contrast,cart,0
repeat,allies,0
combined,fill,0
contrast,forecast,1
told,hold,1
pour,corps,1
dean,you,0
warfare,bare,1
same,past,0
hemisphere,mere,1
june,breakdown,0
organize,would,0
been,tie,0
dear,quo,0
hong,along,1
hook,finland,0
agree,restore,0
spread,overhead,1
complain,polite,0
look,pass,0
wrong,yard,0
tray,bay,1
outline,stood,0
enterprise,allies,1
repeat,meat,1
delight,enterprise,0
line,card,0
same,blame,1
offspring,ring,1
prior,lined,0
outlook,unfair,0
baseball,football,1
shield,sealed,1
known,cheap,0
cast,gain,0
supply,mean,0
hong,gun,0
part,smart,1
could,chromosome,0
row,hello,1
sand,command,1
small,hay,0
team,benign,0
smell,dwell,1
fan,seen,0
rise,analyze,1
same,copyright,0
small,install,1
chromosome,rely,0
into,overview,1
tea,likelihood,0
than,replace,0
pass,sold,0
behold,hat,0
extreme,brown,0
format,hat,1
jar,sweet,0
corps,restore,1
entire,wire,1
domain,bark,0
assigned,kind,1
led,tune,0
art,hart,1
specify,rely,1
dwell,rode,0
discrete,shame,0
where,revealed,0
breakdown,code,0
flame,game,1
could,should,1
gun,everyone,1
stream,esteem,1
handbook,along,0
guard,done,0
sweep,sheep,1
handbook,textbook,1
past,blast,1
childhood,could,1
holiday,shame,0
spine,crystalline,1
fat,steep,0
mark,remark,1
scheme,anything,0
that,nat,1
leap,steep,1
race,replace,1
merchandise,realize,1
pan,team,0
restore,demand,0
ran,buffalo,0
that,otto,0
buyer,prior,1
esteem,bark,0
singh,wing,1
shield,sell,0
see,avenue,0
minimize,crown,0
hygiene,mean,1
pan,van,1
store,ignore,1
cast,embrace,0
took,outlook,1
justify,broadcast,0
been,gold,0
around,fifteen,0
spell,sell,1
tear,premier,1
undergo,know,1
confined,find,1
acquire,hire,1
cone,ann,0
jay,land,0
along,syndrome,0
crown,higher,0
