word1,word2,label
celebration,celebrated,0
cook,shook,1
counsel,foolish,0
matter,tail,0
night,invite,1
forecast,cast,1
furniture,transparent,0
sealed,yield,1
severe,pioneer,1
today,clay,1
reality,come,0
yard,courtyard,1
flag,color,0
lighting,exterior,0
forest,snow,0
value,facial,0
panel,exterior,0
thereafter,afterwards,0
advice,foolish,0
ride,truck,0
obtain,reign,1
pale,purple,0
ass,alas,1
ridge,shirt,0
fled,shed,1
scored,pitch,0
powder,painter,0
could,hood,1
art,counterpart,1
meaning,locality,0
threshold,gold,1
spelling,locality,0
white,bright,1
ing,wing,1
prior,entire,1
furious,transform,0
frame,brick,0
flow,joe,1
mice,pet,0
hearing,labour,0
museum,photography,0
thereafter,afterward,0
literally,word,0
gland,sand,1
sequence,reality,0
demand,expand,1
presence,weak,0
museum,furniture,0
would,could,1
along,hong,1
call,alcohol,1
finger,sword,0
sand,command,1
space,replace,1
motor,crash,0
esteem,cream,1
square,hardware,1
understood,stood,1
cardiac,cemetery,0
vector,quarter,0
white,bull,0
require,wire,1
stone,timber,0
vehicle,motor,0
wall,tall,1
spite,polite,1
conference,orbit,0
defined,mankind,1
pace,chase,1
last,cast,1
true,crew,1
allies,merchandise,1
wounded,protection,0
down,downtown,1
write,midnight,1
poetry,biography,0
belly,costa,0
automobile,rear,0
slow,forward,0
dining,powder,0
bark,arc,1
ruler,wisdom,0
furious,restaurant,0
fee,reality,1
advice,man,0
mac,dynasty,0
visible,lamp,0
tank,lighting,0
lane,plain,1
below,audio,1
tiger,mice,0
lean,hygiene,1
arch,monument,0
ruler,heir,0
meet,sweet,1
ride,drive,0
tree,oak,0
cognitive,thinking,0
valve,cardiovascular,0
brick,residential,0
fleet,repeat,1
hart,start,1
residential,streets,0
neighborhood,ridge,0
understand,gland,1
blood,shirt,0
wear,beauty,0
element,component,0
clarify,pie,1
zone,phone,1
son,than,1
northwest,intersection,0
balloon,noon,1
array,holiday,1
chart,cart,1
enough,influence,0
soft,imagine,0
noun,brown,1
ruler,dynasty,0
telephone,tower,0
dress,coat,0
gallery,sculpture,0
ridge,climb,0
resemblance,links,0
bridge,porch,0
sculpture,bridge,0
resemblance,weak,0
shallow,ocean,0
motor,suspension,0
folklore,explore,1
begun,been,1
grown,bone,1
glasses,ceramic,0
causing,lap,0
tall,fall,1
span,than,1
plastic,whether,0
green,black,0
bring,ing,1
art,gallery,0
resemblance,presence,0
cone,thrown,1
kind,outlined,1
pass,mass,1
spectrum,lighting,0
totally,partial,0
medium,bright,0
brain,spirit,0
danger,plastic,0
chart,start,1
bed,bread,1
syndrome,chromosome,1
meaning,refer,0
earth,newspaper,0
old,threshold,1
forest,weather,0
neighborhood,summit,0
ton,than,1
come,sequence,0
start,art,1
biography,publisher,0
deer,orange,0
affair,pair,1
cardiovascular,soul,0
pet,rabbit,0
outlook,took,1
nearest,route,0
heir,palace,0
meat,complete,1
scheme,seem,1
call,install,1
blast,caste,1
star,rising,0
literally,spelling,0
space,trace,1
brown,angel,0
disease,cardiac,0
factor,lock,0
lead,fled,1
gear,premier,1
leaves,sustainable,0
despite,white,1
gesture,grip,0
she,thee,1
smell,tell,1
someone,anyone,1
glow,slow,1
voltage,commissioner,0
soul,brain,0
weather,precipitation,0
away,pay,1
blood,flag,0
fame,came,1
